,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths
Nicaragua,,2,1,0,0,2,1,1,0,0,0,1,6,1,7,8,2,4
Niger,2316,2226,2778,2691,2209,2825,2802,3929,2159,2461,1358,1150,2060,1333,2248,2769,2366,1244
Nigeria,,,,6082,7878,7734,3353,4238,7522,8677,10289,6586,6494,6032,5343,4092,4317,
Oman,,,,0,0,0,0,0,2,2,0,0,0,,,,,
Pakistan,113,33,34,56,244,260,4,,,,24,9,52,,,,,
Panama,0,0,0,0,0,1,0,1,0,1,1,1,1,2,4,2,1,1
Papua New Guinea,273,306,163,203,307,381,523,616,604,628,559,668,725,619,537,647,562,617
Paraguay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,10,7,5,4,4,7,1,0,2,2,2,6,4,6,9,12,25,20
Philippines,4,7,20,10,12,16,12,30,24,56,73,124,145,167,162,71,439,536
Republic of Korea,3,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0
Rwanda,376,715,516,496,409,459,380,670,809,566,1772,2486,2581,2362,2679,3167,4275,
Sao Tome and Principe,1,0,0,0,11,7,19,14,23,16,3,26,85,169,193,321,248,254
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,284,325,526,500,815,649,472,553,574,741,1935,1678,1587,1524,1602,1226,1515,1275
Sierra Leone,1298,1345,1107,2848,4326,3611,3573,8188,1734,871,324,90,50,126,157,461,328,
Solomon Islands,27,20,13,23,18,18,19,34,53,21,15,12,38,51,71,61,55,38
Somalia,20,13,27,14,23,10,5,6,45,49,45,58,15,79,54,8,,
South Africa,301,34,110,174,105,72,54,83,45,43,37,87,63,88,142,96,81,424
South Sudan,3483,,,,1311,1321,406,1053,254,263,,,,,,,,
Sri Lanka,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,30,52,77
Sudan,1446,984,868,823,685,618,612,1023,1142,1125,1254,1193,1789,1814,2479,2125,2252,2162
Suriname,1,0,0,1,1,0,1,1,0,0,1,1,1,7,18,15,23,24
Syrian Arab Republic,,,,4,1,1,0,0,1,1,1,2,2,,,,,
Tajikistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,11,27,33,38,47,37,43,80,70,101,97,113,161,230,204,361,424,625
Timor-Leste,0,0,0,1,3,3,16,58,53,33,60,68,71,65,,,,
Togo,995,847,1205,1205,1361,1197,1314,1507,1556,2663,1236,819,1024,1183,1130,1661,1394,
Turkey,,6,3,1,3,0,4,0,1,3,1,0,0,0,0,0,0,0
Turkmenistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,5111,5635,6100,5921,7277,6585,5958,8431,6296,2372,7003,4252,,,,,,
United Republic of Tanzania,3685,5046,6313,5373,8528,7820,11806,15867,16776,12497,12593,20962,18322,19859,15251,815,1228,379
Uzbekistan,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,1,1,2,4,5,1,5,3,14,13,4,3
Venezuela (Bolivarian Republic of),,1,8,5,6,10,16,18,11,9,16,11,17,35,40,23,28,24
Viet Nam,6,3,3,6,6,8,14,21,26,25,20,41,18,34,50,50,91,142
Yemen,37,65,14,23,55,72,75,92,38,,,73,,,,,,
Zambia,1425,1827,2389,3257,3548,3705,4540,4834,3862,3781,6183,6484,7737,8289,9178,9021,9369,
Zimbabwe,527,351,200,406,352,351,451,255,108,232,401,802,1916,1809,1044,1844,,
